time,bid,ask
2024-01-01 22:00:00,155.606,155.695
2024-01-01 23:00:00,155.735,155.759
2024-01-02 00:00:00,155.792,155.815
2024-01-02 01:00:00,156.074,156.093
2024-01-02 02:00:00,155.985,156.004
2024-01-02 03:00:00,155.996,156.017
2024-01-02 04:00:00,155.992,156.010
2024-01-02 05:00:00,155.953,155.971
2024-01-02 06:00:00,156.080,156.100
2024-01-02 07:00:00,155.916,155.939
2024-01-02 08:00:00,156.128,156.151
2024-01-02 09:00:00,155.921,155.941
2024-01-02 10:00:00,155.920,155.940
2024-01-02 11:00:00,155.571,155.589
2024-01-02 12:00:00,155.667,155.687
2024-01-02 13:00:00,155.689,155.709
2024-01-02 14:00:00,155.181,155.201
2024-01-02 15:00:00,155.318,155.336
2024-01-02 16:00:00,155.461,155.479
2024-01-02 17:00:00,155.463,155.479
2024-01-02 18:00:00,155.391,155.407
2024-01-02 19:00:00,155.381,155.400
2024-01-02 20:00:00,155.357,155.375
2024-01-02 21:00:00,155.363,155.382
2024-01-02 22:00:00,155.411,155.489
2024-01-02 23:00:00,155.553,155.574
2024-01-03 00:00:00,155.425,155.445
2024-01-03 01:00:00,155.520,155.541
2024-01-03 02:00:00,155.556,155.573
2024-01-03 03:00:00,155.515,155.532
2024-01-03 04:00:00,155.556,155.576
2024-01-03 05:00:00,155.636,155.656
2024-01-03 06:00:00,155.705,155.720
2024-01-03 07:00:00,156.090,156.114
2024-01-03 08:00:00,156.150,156.169
2024-01-03 09:00:00,155.985,156.005
2024-01-03 10:00:00,155.877,155.898
2024-01-03 11:00:00,156.069,156.089
2024-01-03 12:00:00,156.031,156.051
2024-01-03 13:00:00,156.190,156.205
2024-01-03 14:00:00,156.295,156.393
2024-01-03 15:00:00,156.582,156.599
2024-01-03 16:00:00,156.588,156.606
2024-01-03 17:00:00,156.618,156.636
2024-01-03 18:00:00,156.556,156.648
2024-01-03 19:00:00,156.381,156.399
2024-01-03 20:00:00,156.426,156.444
2024-01-03 21:00:00,156.504,156.538
2024-01-03 22:00:00,156.315,156.369
2024-01-03 23:00:00,156.237,156.253
2024-01-04 00:00:00,156.482,156.502
2024-01-04 01:00:00,156.592,156.609
2024-01-04 02:00:00,156.662,156.682
2024-01-04 03:00:00,156.621,156.641
2024-01-04 04:00:00,156.860,156.878
2024-01-04 05:00:00,157.099,157.118
2024-01-04 06:00:00,156.911,156.929
2024-01-04 07:00:00,156.821,156.839
2024-01-04 08:00:00,157.274,157.299
2024-01-04 09:00:00,157.784,157.805
2024-01-04 10:00:00,158.039,158.059
2024-01-04 11:00:00,157.928,157.949
2024-01-04 12:00:00,157.949,157.974
2024-01-04 13:00:00,158.224,158.239
2024-01-04 14:00:00,158.472,158.489
2024-01-04 15:00:00,158.478,158.495
2024-01-04 16:00:00,158.417,158.437
2024-01-04 17:00:00,158.339,158.356
2024-01-04 18:00:00,158.297,158.316
2024-01-04 19:00:00,158.270,158.289
