time,open,high,low,close,volume
2024-01-01 22:00:00,1.10440,1.10453,1.10430,1.10450,188
2024-01-01 23:00:00,1.10446,1.10446,1.10356,1.10368,1018
2024-01-02 00:00:00,1.10367,1.10386,1.10342,1.10384,1328
2024-01-02 01:00:00,1.10380,1.10434,1.10342,1.10350,2435
2024-01-02 02:00:00,1.10351,1.10359,1.10184,1.10190,1968
2024-01-02 03:00:00,1.10189,1.10249,1.10180,1.10247,1364
2024-01-02 04:00:00,1.10245,1.10251,1.10166,1.10212,1322
2024-01-02 05:00:00,1.10211,1.10336,1.10210,1.10335,1864
2024-01-02 06:00:00,1.10334,1.10352,1.10268,1.10287,1888
2024-01-02 07:00:00,1.10286,1.10381,1.10152,1.10156,4864
2024-01-02 08:00:00,1.10161,1.10390,1.10161,1.10298,6320
2024-01-02 09:00:00,1.10294,1.10382,1.10107,1.10153,4744
2024-01-02 10:00:00,1.10151,1.10170,1.09972,1.10076,4730
2024-01-02 11:00:00,1.10074,1.10076,1.09666,1.09692,6040
2024-01-02 12:00:00,1.09694,1.09721,1.09536,1.09540,4771
2024-01-02 13:00:00,1.09542,1.09652,1.09492,1.09528,6187
2024-01-02 14:00:00,1.09529,1.09643,1.09448,1.09632,8001
2024-01-02 15:00:00,1.09630,1.09685,1.09412,1.09437,9201
2024-01-02 16:00:00,1.09438,1.09617,1.09410,1.09565,5354
2024-01-02 17:00:00,1.09566,1.09576,1.09460,1.09506,3908
2024-01-02 18:00:00,1.09506,1.09560,1.09464,1.09468,3149
2024-01-02 19:00:00,1.09464,1.09501,1.09429,1.09467,2303
2024-01-02 20:00:00,1.09465,1.09514,1.09422,1.09434,2737
2024-01-02 21:00:00,1.09430,1.09433,1.09383,1.09406,1285
2024-01-02 22:00:00,1.09460,1.09464,1.09394,1.09409,937
2024-01-02 23:00:00,1.09414,1.09440,1.09410,1.09416,868
2024-01-03 00:00:00,1.09418,1.09506,1.09413,1.09494,1297
2024-01-03 01:00:00,1.09494,1.09550,1.09450,1.09516,2582
2024-01-03 02:00:00,1.09516,1.09532,1.09487,1.09524,1583
2024-01-03 03:00:00,1.09522,1.09624,1.09488,1.09610,1778
2024-01-03 04:00:00,1.09610,1.09625,1.09590,1.09625,1284
2024-01-03 05:00:00,1.09626,1.09629,1.09512,1.09514,1883
2024-01-03 06:00:00,1.09514,1.09610,1.09512,1.09589,1732
2024-01-03 07:00:00,1.09584,1.09629,1.09516,1.09604,3609
2024-01-03 08:00:00,1.09605,1.09656,1.09502,1.09526,5869
2024-01-03 09:00:00,1.09526,1.09564,1.09348,1.09364,4524
2024-01-03 10:00:00,1.09364,1.09392,1.09263,1.09280,3816
2024-01-03 11:00:00,1.09280,1.09299,1.09156,1.09196,4362
2024-01-03 12:00:00,1.09194,1.09322,1.09146,1.09168,4223
2024-01-03 13:00:00,1.09167,1.09302,1.09102,1.09216,7633
2024-01-03 14:00:00,1.09218,1.09266,1.09098,1.09158,7863
2024-01-03 15:00:00,1.09135,1.09387,1.08982,1.09047,13292
2024-01-03 16:00:00,1.09050,1.09184,1.09029,1.09082,7301
2024-01-03 17:00:00,1.09082,1.09104,1.09034,1.09068,4345
2024-01-03 18:00:00,1.09070,1.09150,1.09029,1.09061,3801
2024-01-03 19:00:00,1.09062,1.09259,1.08929,1.09176,10760
2024-01-03 20:00:00,1.09180,1.09234,1.09151,1.09214,5354
2024-01-03 21:00:00,1.09212,1.09236,1.09187,1.09220,1514
2024-01-03 22:00:00,1.09170,1.09239,1.09170,1.09216,767
2024-01-03 23:00:00,1.09219,1.09278,1.09219,1.09262,1074
2024-01-04 00:00:00,1.09260,1.09268,1.09196,1.09226,1809
2024-01-04 01:00:00,1.09225,1.09242,1.09164,1.09179,2500
2024-01-04 02:00:00,1.09179,1.09202,1.09160,1.09196,1769
2024-01-04 03:00:00,1.09196,1.09308,1.09196,1.09263,2215
2024-01-04 04:00:00,1.09264,1.09288,1.09248,1.09262,1563
2024-01-04 05:00:00,1.09260,1.09270,1.09220,1.09266,2636
2024-01-04 06:00:00,1.09266,1.09347,1.09210,1.09327,2930
2024-01-04 07:00:00,1.09326,1.09438,1.09296,1.09376,4725
2024-01-04 08:00:00,1.09378,1.09560,1.09346,1.09535,6507
2024-01-04 09:00:00,1.09534,1.09692,1.09452,1.09676,6132
2024-01-04 10:00:00,1.09676,1.09724,1.09544,1.09557,4630
2024-01-04 11:00:00,1.09556,1.09580,1.09462,1.09479,3149
2024-01-04 12:00:00,1.09476,1.09560,1.09468,1.09524,3549
2024-01-04 13:00:00,1.09526,1.09554,1.09328,1.09472,8346
2024-01-04 14:00:00,1.09471,1.09506,1.09382,1.09456,7701
2024-01-04 15:00:00,1.09454,1.09656,1.09454,1.09553,8254
2024-01-04 16:00:00,1.09554,1.09640,1.09542,1.09560,5434
2024-01-04 17:00:00,1.09562,1.09600,1.09418,1.09506,3699
2024-01-04 18:00:00,1.09504,1.09544,1.09460,1.09470,3288
2024-01-04 19:00:00,1.09474,1.09500,1.09434,1.09470,2739
2024-01-04 20:00:00,1.09470,1.09494,1.09431,1.09494,2748
2024-01-04 21:00:00,1.09492,1.09502,1.09448,1.09450,1165
2024-01-04 22:00:00,1.09487,1.09510,1.09456,1.09478,1717
2024-01-04 23:00:00,1.09472,1.09490,1.09434,1.09463,778
2024-01-05 00:00:00,1.09462,1.09517,1.09444,1.09510,1868
2024-01-05 01:00:00,1.09510,1.09560,1.09502,1.09517,2869
2024-01-05 02:00:00,1.09518,1.09542,1.09466,1.09468,1790
2024-01-05 03:00:00,1.09470,1.09474,1.09391,1.09392,1824
2024-01-05 04:00:00,1.09394,1.09413,1.09364,1.09373,1722
2024-01-05 05:00:00,1.09370,1.09383,1.09342,1.09375,1984
2024-01-05 06:00:00,1.09374,1.09374,1.09248,1.09279,2857
2024-01-05 07:00:00,1.09280,1.09336,1.09226,1.09233,3393
2024-01-05 08:00:00,1.09230,1.09259,1.09034,1.09078,5121
2024-01-05 09:00:00,1.09077,1.09307,1.09028,1.09130,4943
2024-01-05 10:00:00,1.09131,1.09138,1.09037,1.09129,3728
2024-01-05 11:00:00,1.09126,1.09176,1.09102,1.09142,3122
2024-01-05 12:00:00,1.09142,1.09210,1.09137,1.09177,3337
2024-01-05 13:00:00,1.09178,1.09281,1.08770,1.09212,15421
2024-01-05 14:00:00,1.09214,1.09550,1.09214,1.09496,13012
2024-01-05 15:00:00,1.09570,1.09986,1.09570,1.09783,16873
2024-01-05 16:00:00,1.09784,1.09807,1.09531,1.09562,8656
2024-01-05 17:00:00,1.09560,1.09564,1.09433,1.09463,6296
2024-01-05 18:00:00,1.09462,1.09563,1.09353,1.09541,5266
2024-01-05 19:00:00,1.09542,1.09598,1.09432,1.09454,4966
2024-01-05 20:00:00,1.09453,1.09472,1.09358,1.09394,3532
2024-01-05 21:00:00,1.09394,1.09448,1.09371,1.09423,1449
2024-01-07 22:00:00,1.09487,1.09487,1.09431,1.09454,589
2024-01-07 23:00:00,1.09462,1.09462,1.09349,1.09418,1145
2024-01-08 00:00:00,1.09414,1.09495,1.09403,1.09487,1256
2024-01-08 01:00:00,1.09485,1.09532,1.09471,1.09480,2162
2024-01-08 02:00:00,1.09481,1.09481,1.09360,1.09373,2185
2024-01-08 03:00:00,1.09372,1.09394,1.09315,1.09330,1801
2024-01-08 04:00:00,1.09329,1.09374,1.09307,1.09341,1602
2024-01-08 05:00:00,1.09343,1.09376,1.09322,1.09375,1781
2024-01-08 06:00:00,1.09372,1.09468,1.09363,1.09461,2099
2024-01-08 07:00:00,1.09462,1.09524,1.09394,1.09454,4632
2024-01-08 08:00:00,1.09456,1.09456,1.09292,1.09338,6443
2024-01-08 09:00:00,1.09338,1.09426,1.09226,1.09372,4875
2024-01-08 10:00:00,1.09387,1.09436,1.09346,1.09425,4371
2024-01-08 11:00:00,1.09426,1.09508,1.09369,1.09380,4030
2024-01-08 12:00:00,1.09380,1.09484,1.09373,1.09448,4193
2024-01-08 13:00:00,1.09446,1.09563,1.09426,1.09510,6522
2024-01-08 14:00:00,1.09506,1.09628,1.09495,1.09602,8204
2024-01-08 15:00:00,1.09603,1.09747,1.09552,1.09698,6675
2024-01-08 16:00:00,1.09700,1.09790,1.09682,1.09755,5866
2024-01-08 17:00:00,1.09753,1.09789,1.09624,1.09648,3346
2024-01-08 18:00:00,1.09645,1.09658,1.09488,1.09555,2391
2024-01-08 19:00:00,1.09556,1.09630,1.09530,1.09610,2869
2024-01-08 20:00:00,1.09609,1.09609,1.09494,1.09547,2959
2024-01-08 21:00:00,1.09546,1.09564,1.09497,1.09506,1569
2024-01-08 22:00:00,1.09585,1.09591,1.09500,1.09507,1258
2024-01-08 23:00:00,1.09512,1.09528,1.09496,1.09497,844
2024-01-09 00:00:00,1.09498,1.09596,1.09494,1.09552,2497
2024-01-09 01:00:00,1.09553,1.09620,1.09516,1.09616,2548
2024-01-09 02:00:00,1.09618,1.09648,1.09607,1.09628,2142
2024-01-09 03:00:00,1.09632,1.09665,1.09609,1.09630,1738
2024-01-09 04:00:00,1.09631,1.09632,1.09534,1.09563,1572
2024-01-09 05:00:00,1.09564,1.09564,1.09480,1.09497,1654
2024-01-09 06:00:00,1.09498,1.09552,1.09482,1.09504,2437
2024-01-09 07:00:00,1.09502,1.09632,1.09460,1.09568,4095
2024-01-09 08:00:00,1.09566,1.09566,1.09390,1.09498,5263
2024-01-09 09:00:00,1.09500,1.09506,1.09380,1.09442,4577
2024-01-09 10:00:00,1.09445,1.09482,1.09326,1.09356,4453
2024-01-09 11:00:00,1.09358,1.09361,1.09288,1.09314,3557
2024-01-09 12:00:00,1.09312,1.09417,1.09288,1.09406,4315
2024-01-09 13:00:00,1.09407,1.09468,1.09332,1.09462,7421
2024-01-09 14:00:00,1.09464,1.09514,1.09380,1.09456,7616
2024-01-09 15:00:00,1.09457,1.09467,1.09177,1.09179,7440
2024-01-09 16:00:00,1.09178,1.09352,1.09102,1.09343,4945
2024-01-09 17:00:00,1.09345,1.09394,1.09302,1.09342,4509
2024-01-09 18:00:00,1.09339,1.09402,1.09224,1.09242,4666
2024-01-09 19:00:00,1.09241,1.09288,1.09200,1.09254,3313
2024-01-09 20:00:00,1.09257,1.09299,1.09251,1.09280,3283
2024-01-09 21:00:00,1.09281,1.09315,1.09278,1.09313,1353
2024-01-09 22:00:00,1.09292,1.09302,1.09273,1.09294,535
2024-01-09 23:00:00,1.09291,1.09330,1.09290,1.09318,573
2024-01-10 00:00:00,1.09317,1.09366,1.09292,1.09309,2146
2024-01-10 01:00:00,1.09308,1.09336,1.09261,1.09321,2980
2024-01-10 02:00:00,1.09324,1.09359,1.09318,1.09337,2193
2024-01-10 03:00:00,1.09338,1.09361,1.09278,1.09294,2047
2024-01-10 04:00:00,1.09290,1.09331,1.09288,1.09321,1311
2024-01-10 05:00:00,1.09322,1.09342,1.09306,1.09323,1442
2024-01-10 06:00:00,1.09321,1.09336,1.09236,1.09248,2362
2024-01-10 07:00:00,1.09252,1.09454,1.09247,1.09264,5238
2024-01-10 08:00:00,1.09264,1.09450,1.09230,1.09434,5658
2024-01-10 09:00:00,1.09434,1.09520,1.09416,1.09472,3780
2024-01-10 10:00:00,1.09472,1.09550,1.09451,1.09492,3697
2024-01-10 11:00:00,1.09494,1.09556,1.09417,1.09460,3227
2024-01-10 12:00:00,1.09461,1.09504,1.09431,1.09438,3236
2024-01-10 13:00:00,1.09439,1.09520,1.09406,1.09407,4990
2024-01-10 14:00:00,1.09404,1.09417,1.09320,1.09400,5196
2024-01-10 15:00:00,1.09397,1.09692,1.09358,1.09674,5876
2024-01-10 16:00:00,1.09675,1.09691,1.09525,1.09592,4166
2024-01-10 17:00:00,1.09593,1.09682,1.09584,1.09673,2768
