time,bid,ask
2024-01-01 22:00:00,1.32415,1.32483
2024-01-01 23:00:00,1.32438,1.32458
2024-01-02 00:00:00,1.32442,1.32460
2024-01-02 01:00:00,1.32410,1.32429
2024-01-02 02:00:00,1.32532,1.32550
2024-01-02 03:00:00,1.32551,1.32569
2024-01-02 04:00:00,1.32538,1.32555
2024-01-02 05:00:00,1.32355,1.32374
2024-01-02 06:00:00,1.32538,1.32553
2024-01-02 07:00:00,1.32501,1.32523
2024-01-02 08:00:00,1.32410,1.32428
2024-01-02 09:00:00,1.32525,1.32545
2024-01-02 10:00:00,1.32491,1.32506
2024-01-02 11:00:00,1.32671,1.32690
2024-01-02 12:00:00,1.32904,1.32921
2024-01-02 13:00:00,1.32986,1.33007
2024-01-02 14:00:00,1.33153,1.33172
2024-01-02 15:00:00,1.33117,1.33136
2024-01-02 16:00:00,1.33101,1.33119
2024-01-02 17:00:00,1.33040,1.33057
2024-01-02 18:00:00,1.33258,1.33275
2024-01-02 19:00:00,1.33260,1.33280
2024-01-02 20:00:00,1.33296,1.33316
2024-01-02 21:00:00,1.33207,1.33227
2024-01-02 22:00:00,1.33201,1.33242
2024-01-02 23:00:00,1.33212,1.33234
2024-01-03 00:00:00,1.33215,1.33233
2024-01-03 01:00:00,1.33257,1.33274
2024-01-03 02:00:00,1.33269,1.33288
2024-01-03 03:00:00,1.33249,1.33267
2024-01-03 04:00:00,1.33266,1.33282
2024-01-03 05:00:00,1.33264,1.33283
2024-01-03 06:00:00,1.33241,1.33260
2024-01-03 07:00:00,1.33238,1.33256
2024-01-03 08:00:00,1.33244,1.33264
2024-01-03 09:00:00,1.33246,1.33265
2024-01-03 10:00:00,1.33339,1.33356
2024-01-03 11:00:00,1.33429,1.33444
2024-01-03 12:00:00,1.33445,1.33462
2024-01-03 13:00:00,1.33614,1.33634
2024-01-03 14:00:00,1.33516,1.33548
2024-01-03 15:00:00,1.33501,1.33520
2024-01-03 16:00:00,1.33574,1.33593
2024-01-03 17:00:00,1.33601,1.33621
2024-01-03 18:00:00,1.33600,1.33640
2024-01-03 19:00:00,1.33547,1.33567
2024-01-03 20:00:00,1.33571,1.33589
2024-01-03 21:00:00,1.33515,1.33533
2024-01-03 22:00:00,1.33508,1.33555
2024-01-03 23:00:00,1.33476,1.33497
2024-01-04 00:00:00,1.33495,1.33515
2024-01-04 01:00:00,1.33460,1.33480
2024-01-04 02:00:00,1.33505,1.33527
2024-01-04 03:00:00,1.33378,1.33399
2024-01-04 04:00:00,1.33382,1.33402
2024-01-04 05:00:00,1.33395,1.33411
2024-01-04 06:00:00,1.33245,1.33264
2024-01-04 07:00:00,1.33191,1.33211
2024-01-04 08:00:00,1.33232,1.33253
2024-01-04 09:00:00,1.33234,1.33249
2024-01-04 10:00:00,1.33223,1.33241
2024-01-04 11:00:00,1.33368,1.33387
2024-01-04 12:00:00,1.33335,1.33355
2024-01-04 13:00:00,1.33561,1.33580
2024-01-04 14:00:00,1.33561,1.33580
2024-01-04 15:00:00,1.33528,1.33547
2024-01-04 16:00:00,1.33562,1.33579
2024-01-04 17:00:00,1.33540,1.33557
2024-01-04 18:00:00,1.33570,1.33588
2024-01-04 19:00:00,1.33557,1.33574
2024-01-04 20:00:00,1.33516,1.33536
2024-01-04 21:00:00,1.33489,1.33509
2024-01-04 22:00:00,1.33501,1.33545
2024-01-04 23:00:00,1.33555,1.33576
2024-01-05 00:00:00,1.33518,1.33537
2024-01-05 01:00:00,1.33494,1.33515
2024-01-05 02:00:00,1.33545,1.33565
2024-01-05 03:00:00,1.33603,1.33620
2024-01-05 04:00:00,1.33634,1.33654
2024-01-05 05:00:00,1.33614,1.33633
2024-01-05 06:00:00,1.33659,1.33676
2024-01-05 07:00:00,1.33604,1.33622
2024-01-05 08:00:00,1.33624,1.33640
2024-01-05 09:00:00,1.33719,1.33737
2024-01-05 10:00:00,1.33716,1.33735
2024-01-05 11:00:00,1.33721,1.33738
2024-01-05 12:00:00,1.33731,1.33749
2024-01-05 13:00:00,1.33588,1.33603
2024-01-05 14:00:00,1.33305,1.33327
2024-01-05 15:00:00,1.33226,1.33244
2024-01-05 16:00:00,1.33321,1.33339
2024-01-05 17:00:00,1.33407,1.33424
2024-01-05 18:00:00,1.33468,1.33487
2024-01-05 19:00:00,1.33613,1.33628
2024-01-05 20:00:00,1.33637,1.33656
2024-01-05 21:00:00,1.33593,1.33648
2024-01-07 22:00:00,1.33609,1.33659
2024-01-07 23:00:00,1.33592,1.33612
2024-01-08 00:00:00,1.33544,1.33562
2024-01-08 01:00:00,1.33539,1.33557
2024-01-08 02:00:00,1.33625,1.33641
2024-01-08 03:00:00,1.33695,1.33713
2024-01-08 04:00:00,1.33730,1.33746
2024-01-08 05:00:00,1.33729,1.33749
2024-01-08 06:00:00,1.33650,1.33670
2024-01-08 07:00:00,1.33750,1.33767
2024-01-08 08:00:00,1.33813,1.33831
2024-01-08 09:00:00,1.33785,1.33802
2024-01-08 10:00:00,1.33836,1.33851
2024-01-08 11:00:00,1.33879,1.33898
2024-01-08 12:00:00,1.33799,1.33818
2024-01-08 13:00:00,1.33948,1.33968
2024-01-08 14:00:00,1.33875,1.33895
2024-01-08 15:00:00,1.33726,1.33744
2024-01-08 16:00:00,1.33625,1.33645
2024-01-08 17:00:00,1.33657,1.33677
2024-01-08 18:00:00,1.33642,1.33661
2024-01-08 19:00:00,1.33504,1.33523
2024-01-08 20:00:00,1.33530,1.33548
2024-01-08 21:00:00,1.33475,1.33498
2024-01-08 22:00:00,1.33474,1.33521
2024-01-08 23:00:00,1.33503,1.33524
2024-01-09 00:00:00,1.33467,1.33486
2024-01-09 01:00:00,1.33477,1.33495
2024-01-09 02:00:00,1.33458,1.33478
2024-01-09 03:00:00,1.33479,1.33498
2024-01-09 04:00:00,1.33544,1.33559
2024-01-09 05:00:00,1.33619,1.33638
2024-01-09 06:00:00,1.33614,1.33633
2024-01-09 07:00:00,1.33542,1.33562
2024-01-09 08:00:00,1.33611,1.33632
2024-01-09 09:00:00,1.33527,1.33546
2024-01-09 10:00:00,1.33662,1.33682
2024-01-09 11:00:00,1.33736,1.33753
2024-01-09 12:00:00,1.33616,1.33634
2024-01-09 13:00:00,1.33703,1.33724
2024-01-09 14:00:00,1.33943,1.33961
2024-01-09 15:00:00,1.34015,1.34034
2024-01-09 16:00:00,1.33853,1.33872
2024-01-09 17:00:00,1.33904,1.33923
2024-01-09 18:00:00,1.33927,1.33947
2024-01-09 19:00:00,1.33944,1.33962
2024-01-09 20:00:00,1.33981,1.33999
2024-01-09 21:00:00,1.33895,1.33911
2024-01-09 22:00:00,1.33897,1.33938
2024-01-09 23:00:00,1.33888,1.33908
2024-01-10 00:00:00,1.33869,1.33886
2024-01-10 01:00:00,1.33813,1.33832
2024-01-10 02:00:00,1.33804,1.33824
2024-01-10 03:00:00,1.33819,1.33839
2024-01-10 04:00:00,1.33815,1.33834
2024-01-10 05:00:00,1.33808,1.33829
2024-01-10 06:00:00,1.33924,1.33943
2024-01-10 07:00:00,1.33843,1.33861
2024-01-10 08:00:00,1.33751,1.33772
2024-01-10 09:00:00,1.33701,1.33719
2024-01-10 10:00:00,1.33705,1.33722
2024-01-10 11:00:00,1.33740,1.33760
2024-01-10 12:00:00,1.33803,1.33821
2024-01-10 13:00:00,1.33837,1.33855
2024-01-10 14:00:00,1.33817,1.33835
2024-01-10 15:00:00,1.33796,1.33812
2024-01-10 16:00:00,1.33801,1.33820
2024-01-10 17:00:00,1.33791,1.33808
2024-01-10 18:00:00,1.33793,1.33813
2024-01-10 19:00:00,1.33764,1.33783
2024-01-10 20:00:00,1.33793,1.33813
2024-01-10 21:00:00,1.33789,1.33811
2024-01-10 22:00:00,1.33792,1.33843
2024-01-10 23:00:00,1.33792,1.33810
2024-01-11 00:00:00,1.33724,1.33741
2024-01-11 01:00:00,1.33643,1.33664
2024-01-11 02:00:00,1.33645,1.33665
2024-01-11 03:00:00,1.33595,1.33615
2024-01-11 04:00:00,1.33637,1.33656
2024-01-11 05:00:00,1.33583,1.33603
2024-01-11 06:00:00,1.33588,1.33603
2024-01-11 07:00:00,1.33646,1.33663
2024-01-11 08:00:00,1.33679,1.33697
2024-01-11 09:00:00,1.33701,1.33721
2024-01-11 10:00:00,1.33730,1.33747
2024-01-11 11:00:00,1.33639,1.33657
2024-01-11 12:00:00,1.33585,1.33603
2024-01-11 13:00:00,1.34020,1.34039
2024-01-11 14:00:00,1.33955,1.33971
2024-01-11 15:00:00,1.34287,1.34305
2024-01-11 16:00:00,1.34388,1.34408
2024-01-11 17:00:00,1.34253,1.34269
2024-01-11 18:00:00,1.34073,1.34092
2024-01-11 19:00:00,1.33954,1.33973
2024-01-11 20:00:00,1.33972,1.33993
2024-01-11 21:00:00,1.33933,1.33960
2024-01-11 22:00:00,1.33934,1.33952
2024-01-11 23:00:00,1.33778,1.33796
2024-01-12 00:00:00,1.33811,1.33833
2024-01-12 01:00:00,1.33712,1.33730
2024-01-12 02:00:00,1.33728,1.33747
2024-01-12 03:00:00,1.33753,1.33775
2024-01-12 04:00:00,1.33789,1.33808
2024-01-12 05:00:00,1.33781,1.33800
2024-01-12 06:00:00,1.33738,1.33758
2024-01-12 07:00:00,1.33756,1.33772
2024-01-12 08:00:00,1.33537,1.33554
2024-01-12 09:00:00,1.33556,1.33576
2024-01-12 10:00:00,1.33577,1.33597
2024-01-12 11:00:00,1.33761,1.33780
2024-01-12 12:00:00,1.33735,1.33750
2024-01-12 13:00:00,1.33545,1.33560
2024-01-12 14:00:00,1.33511,1.33530
2024-01-12 15:00:00,1.33854,1.33869
2024-01-12 16:00:00,1.33996,1.34016
2024-01-12 17:00:00,1.34018,1.34035
2024-01-12 18:00:00,1.33990,1.34010
2024-01-12 19:00:00,1.34040,1.34056
2024-01-12 20:00:00,1.34063,1.34083
2024-01-12 21:00:00,1.34072,1.34088
2024-01-14 22:00:00,1.33996,1.34051
2024-01-14 23:00:00,1.34061,1.34076
2024-01-15 00:00:00,1.34012,1.34031
2024-01-15 01:00:00,1.33937,1.33955
2024-01-15 02:00:00,1.33833,1.33852
2024-01-15 03:00:00,1.33875,1.33895
2024-01-15 04:00:00,1.33907,1.33925
2024-01-15 05:00:00,1.33984,1.34002
2024-01-15 06:00:00,1.33937,1.33952
2024-01-15 07:00:00,1.34091,1.34111
2024-01-15 08:00:00,1.34069,1.34086
2024-01-15 09:00:00,1.34142,1.34159
2024-01-15 10:00:00,1.34173,1.34189
2024-01-15 11:00:00,1.34152,1.34170
