time,bid,ask
2024-01-01 22:00:00,140.881,140.923
2024-01-01 23:00:00,141.107,141.124
2024-01-02 00:00:00,141.133,141.151
2024-01-02 01:00:00,141.434,141.447
2024-01-02 02:00:00,141.555,141.575
2024-01-02 03:00:00,141.494,141.510
2024-01-02 04:00:00,141.533,141.548
2024-01-02 05:00:00,141.341,141.360
2024-01-02 06:00:00,141.515,141.531
2024-01-02 07:00:00,141.540,141.556
2024-01-02 08:00:00,141.549,141.564
2024-01-02 09:00:00,141.548,141.562
2024-01-02 10:00:00,141.643,141.663
2024-01-02 11:00:00,141.818,141.836
2024-01-02 12:00:00,142.107,142.124
2024-01-02 13:00:00,142.143,142.158
2024-01-02 14:00:00,141.546,141.563
2024-01-02 15:00:00,141.919,141.937
2024-01-02 16:00:00,141.889,141.904
2024-01-02 17:00:00,141.965,141.981
2024-01-02 18:00:00,141.945,141.962
2024-01-02 19:00:00,141.942,141.959
2024-01-02 20:00:00,141.960,141.976
2024-01-02 21:00:00,141.996,142.016
2024-01-02 22:00:00,142.037,142.120
2024-01-02 23:00:00,142.167,142.187
2024-01-03 00:00:00,141.947,141.966
2024-01-03 01:00:00,142.008,142.026
2024-01-03 02:00:00,142.031,142.044
2024-01-03 03:00:00,141.883,141.898
2024-01-03 04:00:00,141.899,141.914
2024-01-03 05:00:00,142.117,142.135
2024-01-03 06:00:00,142.083,142.096
2024-01-03 07:00:00,142.413,142.431
2024-01-03 08:00:00,142.567,142.584
2024-01-03 09:00:00,142.631,142.648
2024-01-03 10:00:00,142.641,142.659
2024-01-03 11:00:00,142.927,142.943
2024-01-03 12:00:00,142.926,142.946
2024-01-03 13:00:00,143.012,143.028
2024-01-03 14:00:00,143.219,143.250
2024-01-03 15:00:00,143.594,143.607
2024-01-03 16:00:00,143.550,143.567
2024-01-03 17:00:00,143.599,143.614
2024-01-03 18:00:00,143.557,143.599
2024-01-03 19:00:00,143.231,143.247
2024-01-03 20:00:00,143.231,143.247
2024-01-03 21:00:00,143.294,143.316
2024-01-03 22:00:00,143.130,143.161
2024-01-03 23:00:00,142.990,143.007
2024-01-04 00:00:00,143.260,143.279
2024-01-04 01:00:00,143.422,143.440
2024-01-04 02:00:00,143.464,143.482
2024-01-04 03:00:00,143.337,143.356
2024-01-04 04:00:00,143.560,143.578
2024-01-04 05:00:00,143.768,143.788
2024-01-04 06:00:00,143.517,143.534
2024-01-04 07:00:00,143.369,143.386
2024-01-04 08:00:00,143.582,143.597
2024-01-04 09:00:00,143.858,143.877
2024-01-04 10:00:00,144.247,144.264
2024-01-04 11:00:00,144.250,144.267
2024-01-04 12:00:00,144.214,144.231
2024-01-04 13:00:00,144.529,144.544
2024-01-04 14:00:00,144.778,144.795
2024-01-04 15:00:00,144.655,144.672
2024-01-04 16:00:00,144.588,144.602
2024-01-04 17:00:00,144.589,144.605
2024-01-04 18:00:00,144.595,144.611
2024-01-04 19:00:00,144.571,144.587
2024-01-04 20:00:00,144.583,144.601
2024-01-04 21:00:00,144.624,144.641
2024-01-04 22:00:00,144.573,144.614
2024-01-04 23:00:00,144.767,144.786
2024-01-05 00:00:00,144.791,144.811
2024-01-05 01:00:00,144.734,144.751
2024-01-05 02:00:00,144.809,144.827
2024-01-05 03:00:00,144.919,144.935
2024-01-05 04:00:00,144.845,144.860
2024-01-05 05:00:00,144.721,144.736
2024-01-05 06:00:00,145.230,145.248
2024-01-05 07:00:00,145.069,145.088
2024-01-05 08:00:00,145.069,145.086
2024-01-05 09:00:00,145.177,145.194
2024-01-05 10:00:00,145.204,145.223
2024-01-05 11:00:00,145.262,145.279
2024-01-05 12:00:00,145.087,145.103
2024-01-05 13:00:00,145.458,145.477
2024-01-05 14:00:00,145.082,145.107
2024-01-05 15:00:00,144.123,144.140
2024-01-05 16:00:00,144.519,144.536
2024-01-05 17:00:00,144.738,144.754
2024-01-05 18:00:00,144.623,144.642
2024-01-05 19:00:00,144.652,144.670
2024-01-05 20:00:00,144.742,144.759
2024-01-05 21:00:00,144.573,144.673
2024-01-07 22:00:00,144.548,144.601
2024-01-07 23:00:00,144.714,144.731
2024-01-08 00:00:00,144.584,144.600
2024-01-08 01:00:00,144.368,144.388
2024-01-08 02:00:00,144.517,144.536
2024-01-08 03:00:00,144.480,144.501
2024-01-08 04:00:00,144.455,144.473
2024-01-08 05:00:00,144.362,144.377
2024-01-08 06:00:00,144.173,144.191
2024-01-08 07:00:00,144.408,144.427
2024-01-08 08:00:00,144.516,144.532
2024-01-08 09:00:00,144.227,144.244
2024-01-08 10:00:00,144.393,144.410
2024-01-08 11:00:00,144.572,144.589
2024-01-08 12:00:00,144.470,144.487
2024-01-08 13:00:00,144.446,144.464
2024-01-08 14:00:00,144.090,144.106
2024-01-08 15:00:00,143.930,143.947
2024-01-08 16:00:00,143.889,143.906
2024-01-08 17:00:00,143.958,143.972
2024-01-08 18:00:00,144.138,144.151
2024-01-08 19:00:00,144.097,144.112
2024-01-08 20:00:00,144.151,144.168
2024-01-08 21:00:00,144.229,144.245
2024-01-08 22:00:00,144.214,144.244
2024-01-08 23:00:00,144.219,144.235
2024-01-09 00:00:00,143.921,143.939
2024-01-09 01:00:00,143.476,143.494
2024-01-09 02:00:00,143.675,143.694
2024-01-09 03:00:00,143.619,143.636
2024-01-09 04:00:00,143.580,143.597
2024-01-09 05:00:00,143.784,143.799
2024-01-09 06:00:00,144.060,144.077
2024-01-09 07:00:00,144.057,144.076
2024-01-09 08:00:00,144.022,144.041
2024-01-09 09:00:00,143.939,143.957
2024-01-09 10:00:00,144.058,144.074
2024-01-09 11:00:00,144.065,144.084
2024-01-09 12:00:00,143.992,144.008
2024-01-09 13:00:00,143.763,143.781
2024-01-09 14:00:00,143.903,143.920
2024-01-09 15:00:00,144.302,144.318
2024-01-09 16:00:00,144.346,144.363
2024-01-09 17:00:00,144.399,144.416
2024-01-09 18:00:00,144.550,144.564
2024-01-09 19:00:00,144.541,144.557
2024-01-09 20:00:00,144.514,144.530
2024-01-09 21:00:00,144.489,144.514
2024-01-09 22:00:00,144.411,144.458
2024-01-09 23:00:00,144.427,144.445
2024-01-10 00:00:00,144.526,144.544
2024-01-10 01:00:00,144.733,144.751
2024-01-10 02:00:00,144.843,144.860
2024-01-10 03:00:00,144.841,144.859
2024-01-10 04:00:00,144.799,144.816
2024-01-10 05:00:00,144.774,144.792
2024-01-10 06:00:00,145.059,145.078
2024-01-10 07:00:00,144.935,144.950
2024-01-10 08:00:00,144.978,144.998
2024-01-10 09:00:00,144.912,144.929
2024-01-10 10:00:00,144.929,144.946
2024-01-10 11:00:00,144.986,145.003
2024-01-10 12:00:00,145.270,145.286
2024-01-10 13:00:00,145.292,145.307
2024-01-10 14:00:00,145.439,145.456
2024-01-10 15:00:00,145.609,145.623
2024-01-10 16:00:00,145.681,145.695
2024-01-10 17:00:00,145.607,145.623
2024-01-10 18:00:00,145.630,145.643
2024-01-10 19:00:00,145.681,145.699
2024-01-10 20:00:00,145.796,145.811
2024-01-10 21:00:00,145.763,145.784
2024-01-10 22:00:00,145.629,145.669
2024-01-10 23:00:00,145.719,145.737
2024-01-11 00:00:00,145.475,145.492
2024-01-11 01:00:00,145.358,145.374
2024-01-11 02:00:00,145.534,145.553
2024-01-11 03:00:00,145.304,145.320
2024-01-11 04:00:00,145.386,145.402
2024-01-11 05:00:00,145.484,145.499
2024-01-11 06:00:00,145.417,145.434
2024-01-11 07:00:00,145.401,145.416
2024-01-11 08:00:00,145.470,145.488
2024-01-11 09:00:00,145.536,145.553
2024-01-11 10:00:00,145.406,145.424
2024-01-11 11:00:00,145.390,145.405
2024-01-11 12:00:00,145.380,145.399
2024-01-11 13:00:00,146.243,146.262
2024-01-11 14:00:00,145.897,145.915
2024-01-11 15:00:00,145.946,145.963
2024-01-11 16:00:00,146.024,146.041
2024-01-11 17:00:00,145.946,145.963
2024-01-11 18:00:00,145.793,145.811
2024-01-11 19:00:00,145.477,145.493
2024-01-11 20:00:00,145.395,145.413
2024-01-11 21:00:00,145.292,145.308
2024-01-11 22:00:00,145.314,145.361
2024-01-11 23:00:00,145.094,145.113
2024-01-12 00:00:00,145.247,145.262
2024-01-12 01:00:00,145.107,145.127
2024-01-12 02:00:00,145.117,145.135
2024-01-12 03:00:00,144.908,144.927
2024-01-12 04:00:00,144.997,145.013
2024-01-12 05:00:00,145.244,145.263
2024-01-12 06:00:00,145.123,145.138
2024-01-12 07:00:00,145.143,145.160
2024-01-12 08:00:00,145.001,145.016
2024-01-12 09:00:00,145.129,145.142
2024-01-12 10:00:00,145.139,145.158
2024-01-12 11:00:00,145.229,145.245
2024-01-12 12:00:00,145.361,145.381
2024-01-12 13:00:00,144.783,144.798
2024-01-12 14:00:00,144.534,144.552
2024-01-12 15:00:00,144.703,144.720
2024-01-12 16:00:00,144.848,144.864
2024-01-12 17:00:00,144.947,144.962
2024-01-12 18:00:00,144.866,144.883
2024-01-12 19:00:00,144.862,144.880
2024-01-12 20:00:00,144.889,144.906
2024-01-12 21:00:00,144.890,144.920
2024-01-14 22:00:00,144.962,144.996
2024-01-14 23:00:00,145.143,145.162
2024-01-15 00:00:00,145.050,145.070
2024-01-15 01:00:00,145.065,145.081
2024-01-15 02:00:00,144.960,144.978
2024-01-15 03:00:00,145.126,145.143
2024-01-15 04:00:00,145.163,145.177
2024-01-15 05:00:00,145.264,145.282
2024-01-15 06:00:00,145.257,145.274
2024-01-15 07:00:00,145.441,145.459
2024-01-15 08:00:00,145.435,145.450
2024-01-15 09:00:00,145.656,145.677
2024-01-15 10:00:00,145.665,145.681
2024-01-15 11:00:00,145.666,145.681
2024-01-15 12:00:00,145.836,145.855
2024-01-15 13:00:00,145.777,145.794
2024-01-15 14:00:00,145.867,145.885
2024-01-15 15:00:00,145.783,145.799
2024-01-15 16:00:00,145.751,145.770
